State,Value
   11 1   11,-1.687026343
   11 1  1  ,0.740900338
   11 1  1 1,-1.729895093
   11 1  11 ,-0.95
   11 1  111,-0.038689047
   11 1 1   ,-0.041691552
   11 1 1  1,-0.95
   11 1 1 1 ,-0.95
   11 1 1 11,0.775817203
   11 1 11  ,-0.857375
   11 1 11 1,-0.081557797
   11 1 111 ,0
   11 1 1111,-1.581155937
   11 11    ,-0.95
   11 11   1,-0.737026343
   11 11  1 ,-0.95
   11 11  11,-0.174182797
   11 11 1  ,-0.95
   11 11 1 1,-0.081557797
   11 11 11 ,-0.122283109
   11 11 111,-2.581155937
   11 111   ,-1.687026343
   11 111  1,0.820942203
   11 111 1 ,0
   11 111 11,-1.766649687
   11 1111  ,-0.081557797
   11 1111 1,-1.766649687
   11 11111 ,-1.678655937
   11 111111,-0.09036875
111,-0.746724071
   111     1,0
   111    1 ,0
   111    11,-0.779895093
   111   1  ,0
   111   1 1,-0.779895093
   111   11 ,-0.820620405
   111   111,-0.081557797
   111  1   ,0.657306276
   111  1  1,-0.737026343
   111  1 1 ,-0.779895093
   111  1 11,-0.038689047
   111  11  ,-1.426993234
   111  11 1,-0.081557797
   111  111 ,0.775817203
   111  1111,-1.766649687
   111 1    ,0.005808448
   111 1   1,-0.779895093
   111 1  1 ,-0.857375
   111 1  11,1.678317203
   111 1 1  ,-0.006114155
   111 1 1 1,-0.081557797
   111 1 11 ,-0.129057797
   111 1 111,-1.631155937
   111 11   ,-1.641901343
   111 11  1,-0.95
   111 11 1 ,-0.031557797
   111 11 11,-1.766649687
   111 111  ,-0.174182797
   111 111 1,-0.816649687
   111 1111 ,-0.816649687
   111 11111,-0.09036875
1111,0.745300026
   1111    1,-0.95
   1111   1 ,-1.519618234
   1111   11,0.863810953
   1111  1  ,-1.729895093
   1111  1 1,0.728317203
   1111  11 ,0.775817203
   1111  111,-1.766649687
   1111 1   ,-0.95
   1111 1  1,-0.257776859
   1111 1 1 ,0
   1111 1 11,-1.766649687
   1111 11  ,0.728317203
   1111 11 1,-0.766649687
   1111 111 ,-1.766649687
   1111 1111,-0.09036875
11111,-1.607611984
   11111   1,0.820942203
   11111  1 ,-0.0475
   11111  11,-2.581155937
   11111 1  ,-0.081557797
   11111 1 1,-1.766649687
   11111 11 ,-1.678655937
   11111 111,-0.04286875
111111,0
   111111  1,-0.95
   111111 1 ,-1.766649687
   111111 11,-0.09036875
1111111,-2.581155937
   1111111 1,-0.99286875
11111111,-0.09036875
111111111,-0.904875
1,-0.600312563
  1        1,-0.03151247
  1       1 ,-0.03151247
  1       11,-0.593494815
  1      1  ,-0.03151247
  1      1 1,-0.665166275
  1      11 ,-0.665166275
  1      111,-0.034916865
  1     1   ,-0.03151247
  1     1  1,-0.665166275
  1     1 1 ,-0.63024941
  1     1 11,0
  1     11  ,-0.665166275
  1     11 1,0.700175026
  1     111 ,-0.034916865
  1     1111,-0.956114155
  1    1    ,-0.03151247
  1    1   1,0.033171022
  1    1  1 ,-0.665166275
  1    1  11,-0.034916865
  1    1 1  ,-0.665166275
  1    1 1 1,-0.034916865
  1    1 11 ,-0.034916865
  1    1 111,-0.779895093
  1    11   ,-0.665166275
  1    11  1,-0.034916865
  1    11 1 ,-0.0475
  1    11 11,-0.737026343
  1    111  ,-0.034916865
  1    111 1,-1.687026343
  1    1111 ,-0.737026343
  1    11111,0.692223141
  1   1     ,-0.03151247
  1   1    1,-0.703855321
  1   1   1 ,-0.665166275
  1   1   11,-0.034916865
  1   1  1  ,-0.668938457
  1   1  1 1,0
  1   1  11 ,-0.034916865
  1   1  111,-1.641901343
  1   1 1   ,-0.665166275
  1   1 1  1,-0.073605912
  1   1 1 1 ,-0.034916865
  1   1 1 11,-1.607611984
  1   1 11  ,-0.034916865
  1   1 11 1,-0.95
  1   1 111 ,-0.913245405
  1   1 1111,0.820942203
  1   11    ,-0.703855321
  1   11   1,-0.034916865
  1   11  1 ,-0.073605912
  1   11  11,0.036754595
  1   11 1  ,-0.034916865
  1   11 1 1,-1.603212296
  1   11 11 ,-0.779895093
  1   11 111,0.775817203
  1   111   ,-0.034916865
  1   111  1,-1.687026343
  1   111 1 ,-0.95
  1   111 11,-0.081557797
  1   1111  ,-0.95
  1   1111 1,1.678317203
  1   11111 ,0.820942203
  1   111111,-1.766649687
  1  1      ,-0.03151247
  1  1     1,-0.665166275
  1  1    1 ,-0.703855321
  1  1    11,-0.073605912
  1  1   1  ,-0.665166275
  1  1   1 1,-0.034916865
  1  1   11 ,-0.073605912
  1  1   111,-0.737026343
  1  1  1   ,-0.703855321
  1  1  1  1,0
  1  1  1 1 ,-0.904875
  1  1  1 11,-0.737026343
  1  1  11  ,-0.073605912
  1  1  11 1,-1.729895093
  1  1  111 ,-0.784526343
  1  1  1111,0
  1  1 1    ,-0.703855321
  1  1 1   1,-0.034916865
  1  1 1  1 ,-0.95
  1  1 1  11,-0.857375
  1  1 1 1  ,0.700175026
  1  1 1 1 1,0
  1  1 1 11 ,-1.603212296
  1  1 1 111,-0.038689047
  1  1 11   ,0.740900338
  1  1 11  1,-1.514986984
  1  1 11 1 ,-1.641901343
  1  1 11 11,-0.95
  1  1 111  ,-0.784526343
  1  1 111 1,0.820942203
  1  1 1111 ,-0.072283109
  1  1 11111,-1.766649687
  1  11     ,-0.740609916
  1  11    1,-0.034916865
  1  11   1 ,0
  1  11   11,0.036754595
  1  11  1  ,-0.034916865
  1  11  1 1,-1.562486984
  1  11  11 ,-0.741206046
  1  11  111,-0.896064047
  1  11 1   ,0.779589385
  1  11 1  1,-1.514986984
  1  11 1 1 ,-1.641901343
  1  11 1 11,-1.031557797
  1  11 11  ,-1.807375
  1  11 11 1,2.678317203
  1  11 111 ,-0.943564047
  1  11 1111,1.085850313
  1  111    ,0.740900338
  1  111   1,-1.514986984
  1  111  1 ,-1.729895093
  1  111  11,-0.95
  1  111 1  ,-0.737026343
